type,k,risk_mean,risk_lo,risk_hi,flip_mean,flip_lo,flip_hi
ECB,7,0.17813996751983618,0.15701967700137154,0.18005889936341268,0.03508771929824561,0.025518341307814992,0.049441786283891544
ECB,8,0.17269771322638344,0.15723481791508737,0.17974865009269703,0.03189792663476874,0.025518341307814992,0.049441786283891544
ECB,9,0.1622184595169898,0.15725159110640768,0.18052533987806788,0.04146730462519936,0.023923444976076555,0.049441786283891544
ECB,10,0.16273014536033226,0.1568152502896632,0.1800989169815888,0.03508771929824561,0.025518341307814992,0.04952153110047839
SNB,-10,0.15832326960073584,0.15278385132682074,0.1878439494970146,0.01568627450980392,0.0196078431372549,0.058823529411764705
SNB,-9,0.1691601484261168,0.15239596817870815,0.1878164564803692,0.03529411764705882,0.0196078431372549,0.058823529411764705
SNB,-8,0.19101896530763812,0.152445009080249,0.1872311903529815,0.03529411764705882,0.0196078431372549,0.058823529411764705
SNB,-7,0.17593762611481706,0.15194862723105246,0.18663498742325335,0.054901960784313725,0.0196078431372549,0.058823529411764705
SNB,-6,0.18080997957185221,0.15132247378357203,0.1881440706304707,0.043137254901960784,0.0196078431372549,0.058823529411764705
SNB,-5,0.18071186353708082,0.15126169648946364,0.1874676686055297,0.050980392156862744,0.0196078431372549,0.054901960784313725
SNB,-4,0.17816837822496667,0.151185538064954,0.1877527285716079,0.06666666666666667,0.0196078431372549,0.058823529411764705
SNB,-3,0.17689542020054672,0.15132549558314173,0.18805160964479722,0.06274509803921569,0.0196078431372549,0.054901960784313725
SNB,-2,0.17572063369696275,0.15091649569663942,0.18813577332252315,0.03137254901960784,0.0196078431372549,0.054901960784313725
SNB,-1,0.16900583757700852,0.1522657131961886,0.18803249509965242,0.050980392156862744,0.01568627450980392,0.058823529411764705
SNB,0,0.16781044235139372,0.1515658754796222,0.1880992468170554,0.06666666666666667,0.0196078431372549,0.058823529411764705
SNB,1,0.1702621901708688,0.1522716556984456,0.18807620173135556,0.043137254901960784,0.0196078431372549,0.054901960784313725
SNB,2,0.18239426652475413,0.1511077199908208,0.18758197546271574,0.054901960784313725,0.01568627450980392,0.058823529411764705
SNB,3,0.17627156874544125,0.15147840356011869,0.18691582484331998,0.03137254901960784,0.0196078431372549,0.054901960784313725
SNB,4,0.17281271053467265,0.15191246407073863,0.18717555684336482,0.03529411764705882,0.0196078431372549,0.058823529411764705
SNB,5,0.17171521939436046,0.1515933080601277,0.18733888607172774,0.058823529411764705,0.019411764705882364,0.058823529411764705
SNB,6,0.1663256818420437,0.15232835499059846,0.18739871185349372,0.054901960784313725,0.0196078431372549,0.054901960784313725
SNB,7,0.154448015209505,0.15331704189804823,0.1879551426631913,0.050980392156862744,0.0196078431372549,0.058823529411764705
SNB,8,0.14952126321175643,0.15308143323444837,0.18768777046050347,0.0196078431372549,0.0196078431372549,0.058823529411764705
SNB,9,0.14710925751403167,0.152094462830182,0.18746370689859776,0.01568627450980392,0.0196078431372549,0.058823529411764705
SNB,10,0.16272028474150851,0.15140942642460006,0.18831790469287837,0.023529411764705882,0.0196078431372549,0.054901960784313725
BOE,-10,0.15739755826537902,0.1593515402834486,0.18122722552967246,0.040310077519379844,0.02483373179743534,0.04961240310077519
BOE,-9,0.16295631587337464,0.15935755815221564,0.1807549570486841,0.03255813953488372,0.024806201550387597,0.04961240310077519
BOE,-8,0.16930227075377477,0.15944105993219737,0.18099210000358631,0.040310077519379844,0.024806201550387597,0.04961240310077519
BOE,-7,0.17249666226531418,0.15832113068962242,0.17986816956511925,0.02635658914728682,0.024806201550387597,0.04961240310077519
